KLRB1	0.358696434
TOX2	0.298606412
HIST1H4I	0.296698758
ST3GAL1	0.296292081
GPR62	0.296038277
ANGPT1	0.293383051
BEND4	0.291799924
C1orf59	0.291768098
ZNF518B	0.289161328
RANBP17	0.284568861
CYP26A1	0.283959633
ECEL1	0.281832854
NLRC3	0.281487398
RPH3A	0.281276147
IVL	0.28114906
PPP1R10	0.275680678
SPINK2	0.274588241
TMED6	0.272427867
ANO10	0.270893325
PVRIG	0.270793329
GPR114	0.27078166
PXN	0.270044563
LAD1	0.270019237
SYCP2	0.269933549
PKDREJ	0.269798098
XG	0.268553792
MST1P9	0.267096157
LOC254559	0.266915104
NKX2-3	0.266915104
RNF19A	0.266774167
MSL3L2	0.266684617
LPHN2	0.266503065
BMP6	0.266456346
RASGRP1	0.265818756
C21orf15	0.265545787
BMP5	0.264974359
KLRK1	0.263782335
LAMP1	0.263618067
LY9	0.261289622
KCNK10	0.260716791
RHOH	0.260322537
FUT9	0.260288802
DHDH	0.258302751
CRTAP	0.257903388
BTN1A1	0.25781889
SOX30	0.257792443
MANEAL	0.257426644
CD8B	0.256215595
IL20RA	0.255971293
PLA2G10	0.255061149
CPNE5	0.253904312
NLRP6	0.253749115
KIF5C	0.253472301
STARD5	0.253301183
TSPAN14	0.252952744
SHISA6	0.252896372
MGC12982	0.252790709
LRRC3	0.252255031
PIF1	0.25187572
SLC12A3	0.25187572
GBP4	0.251655527
XYLT2	0.251641021
SLC22A18	0.251448751
NAIP	0.251150657
CBARA1	0.250497798
HS1BP3	0.24952224
CDK4	0.248855701
LAG3	0.248759435
GRAPL	0.247449097
SOX21	0.247449097
MAF	0.247367632
SRPX2	0.247301684
TBRG1	0.247062293
CD160	0.246882314
CD5	0.246376423
TTC24	0.245887655
FNDC1	0.245805349
FCRLB	0.244261792
C1orf21	0.244231491
ITGAD	0.244231491
NFAM1	0.244231491
GPR18	0.243617528
TMEM41A	0.243595171
ITGBL1	0.243175386
ARHGAP15	0.243005775
PPM1H	0.242869054
IL2RB	0.242819959
UBE2J1	0.242727496
CARD8	0.242016901
ICOSLG	0.242016901
PLEKHG3	0.241980821
VAX2	0.24174894
ARHGAP25	0.2416335
SLA2	0.2416335
UHRF2	0.2416335
PGCP	0.241304682
HEXB	0.241069327
SMARCD2	0.241046619
GBP1	0.240796662
LCK	0.240429864
PTGER4	0.24005318
NEFH	0.23993006
IKBKB	0.23932101
C7orf40	0.239228769
P2RY8	0.239034794
HIST1H3D	0.239004453
PHYH	0.238727278
CASP10	0.238696758
ARHGEF33	0.238664305
FZD3	0.238664305
ZIC1	0.238664305
CECR1	0.238637662
LOC284233	0.238637662
CD97	0.23863435
CXCL9	0.23863435
CEP110	0.238377365
APOL6	0.238297007
MATN1	0.238297007
PHF11	0.238297007
PSG1	0.238174524
GPR174	0.238105625
JARID2	0.238105625
MAP4K1	0.238105625
GALNTL2	0.238033276
CELF4	0.237782512
RFPL1S	0.237782512
ZNF323	0.237128654
GPR126	0.236938206
OCA2	0.236917068
TBX21	0.236839204
GPR55	0.236665092
DLK2	0.236653489
BTN2A2	0.236296762
MIR155HG	0.236296762
C12orf52	0.236227061
LYSMD1	0.236147321
UBASH3A	0.236137582
AUTS2	0.236044789
GTF2A1L	0.236044789
MYH15	0.236008729
PYHIN1	0.235839829
FAM129C	0.235388765
CERCAM	0.235296853
DNAJB6	0.235192048
SPATA18	0.235192048
SYT1	0.235192048
GPR89A	0.235150401
CD19	0.234426412
TPCN2	0.234232858
VPS18	0.23420068
